"prod_name","title","reviewer","review","date","ratings","type_of_movies"
"The Super Mario Bros. Movie (2023)","Illumination's best since Despicable Me 1.","benjaminskylerhill","Video games have long been plagued by subpar adaptions of their materials, but on their second attempt, the Mario Bros save the day. Being on par with the likes of Sonic and Detective Pikachu, this film hits all the fun beats you would want from a Mario film. Including plenty of fun moments for fans of the expansive franchise, this also stays completely understandable and entertaining for anyone who checks it out. With some interesting voice acting choices, no one took you out of the film and everyone felt like great choices for this vibrant world. Wishing that it stood out more or took on more intriguing choices, I was still walking away happy and hopeful for the future of this franchise and the possibilities to come.","5 September 2023","8/10",NA
"The Super Mario Bros. Movie (2023)","Solid Example of Game to Screen Adaptation","Ltufano23","Mario (Chris Pratt) and Luigi (Charlie Day) are struggling Brooklyn brother plumbers. When the city's sewer goes haywire, Mario sees an opportunity for heroic fame. Instead, they get sucked into an alternate world. The brothers get separated. Mario joins Princess Peach (Anya Taylor-Joy) to recruit the Kong army in their fight against the evil turtle Bowser (Jack Black). Luigi gets captured.It's brightly colored. It's energetic. It's got the characters. There's the game play. The story is fairly simple. It's pretty much what I expected. I wish there is more heart to it. The brothers could have been that, but they get separated pretty quickly. I played some of the games over the years and this will probably appeal to the fans. It's got all the brightly colored chaos for the kids. It's less so for everybody else.","19 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","pretty much as expected","SnoopyStyle","I think for what this movie sets out to do, Super Mario Bros. Movie pretty much ticks the boxes of an entertaining, reference fan-service heavy movie. A lot of the jokes are basic sure, but it's just impressive that there is some competency to a Video Game Movie. Sometimes simple and straightforward is the best way to go. Not high art or anything, but it ticks off almost everything for what Mario should be at least. Voice acting wasn't as bad as I thought, and Jack Black was the highlight as expected. Yeah, not gonna win any big awards but judge it for what it is, and yeah by Video Game Movie standards it's one of the best ones easily if you ask me.6.5/10.","5 April 2023","6/10",NA
"The Super Mario Bros. Movie (2023)","Everyone is so fixated on rotten tomatoes scores, it really is a solid film.","nickryan-44535","This is a movie that feels like a love letter to all the Nintendo fans out there, even if they don't necessarily play Mario anymore. The film delivers a fun and enjoyable experience for viewers by faithfully adapting every aspect of the game into the movie, including the Mario Kart and Donkey Kong franchises. The movie is packed with non-stop action and fast-paced storytelling, leaving little room for some of the more significant elements that fans might have wanted to see. It may not be able to fulfill every fan's wishes, but it's understandable and sets up for a sequel, as there is a post-credits scene.But for general audiences who are not familiar with Mario enough, this might be a movie that is difficult to understand. There may be questions like why does it have to be like this? Why do it this way? Why is the world so strange? This is because the story hardly explains in detail for us to know how the world is. Even though the story is simple and has nothing much. But if you don't think too much, it's an easy and enjoyable movie to watch, with the lovable characters in the style of the works from the studio that made Despicable Me.","5 April 2023","8/10",NA
"The Super Mario Bros. Movie (2023)","An absolute BLAST!","justinvitelli","Sometimes you come across a movie that takes no risks. It's light on story, avoids character development, and focuses on getting to the next scene as easily as possible. Mario Bros. Doesn't have any inherent plot holes or issues, but it tends to leave you in a state of just being a viewer rather than participating in the movie. In the end, it's not bad per se, but comes off as flat and lifeless.The positives are all agreed upon by anyone who likes it, because the positives stand out by not being able to be compared against anything else. People have fun with the action. They love the Easter eggs. And the composed music is good. The action is done well, but without much dramatic weight, only carry the movie so far. Easter eggs don't nor should have any bearing on how good the ovoid is. The music was well incorporated, minus the pop songs that truly don't work.It's not good enough to play things easy, and rely on fans to spot visual Easter eggs, to call the movie good. It's average at best mostly because it was watchable and didn't have any outright flaws. It just didn't take chances that could've ended up becoming flaws. Even if you had a good time watching it, there's not enough value to see it again. If you're a fan, check it out. If not, you won't miss a thing by skipping it.","5 April 2023","10/10",NA
"The Super Mario Bros. Movie (2023)","Critics are being too harsh for what it is","AdrenalinDragon","Took my kids for a special sky screening and boy were we excited! At first I was rather skeptical thinking this film won't do any justice to the games. However, I was wrong! This film met our expectation and beyond. I think I enjoyed this film more than my kids. From the moment the film starts it is enjoyable. Good sense of humour and a lot of nice scenes. A lot of laughable moments. Apart from the film being too short it still met my expectations. As a 39 year old who played all the Mario games since childhood, this bought back a lot of fond memories of sleepless nights of playing the Mario games. A must watch film whether you have kids or not.","5 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","The Message Of Love Is Sent Directly To The Fanbase, Not To The General Audience.","folk_egm","If you only watch the movie with the intention of having fun, you will certainly have a good experience with Mario. However the plot is quite bland and the movie runs at a very fast pace between one scene and another, hampering the progress of the story.Also, if you haven't played the Mario games, you'll fail immeasurably to pick up the game references that are scattered throughout the movie, and there are many of them. For anyone who's a Mario fan, this movie is literally fan service and it's no wonder why they're giving it a 10.For me, this movie doesn't lived up to the hype, but for a Mario fan, it certainly did.","6 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","Chris Pratt was awesome as Mario and Jack black as bowser was remarkable!!!!!!","gabethedinosaur","Some people are taking this movie too seriously. This movie is just supposed to be fun and colorful and not to be taken like a tarantino movie or something. Of course the plot could be improved a bit here and there but it's actually a really fun and entertaining movie when you just enjoy the ride. If you're a big fan of Mario you will absolutely love this movie 100%. I felt like a little kid again when i saw all the characters and easter eggs in every scene. The animation was insanely well done and i believe they could've made the movie a bit longer to expand on the world a bit more and get to know each character more but that's about it.","10 April 2023","10/10",NA
"The Super Mario Bros. Movie (2023)","Just average.","movies_are_life_","As a purely fluff piece - it's fun, bright spirited, and enjoyable for families. A movie that has all of the elements you'd want represented from Super Mario bros video games, and as a bonus, it also showcases Mario cart and donkey kong junior. The animation is strong, the worlds are exactly like the video games and truly fun moments for kids. The runtime is great and the movie moves along without pause.AND I expect better, higher quality movie making.The voice acting in this movie is so lazy. Chris Pratt is forgettable-anyone could have done better voicing such a beloved character. Princess Peach is the same - voice acting is boring and fairly emotionless. The worst voice acting belongs to Seth's terrible Donkey Kong junior - not a single attempt to make an actual character voice, just Seth's normal voice slapped on Donkey Kong. Toad's voice acting is also meatless and without any real jokes.The script is mostly empty and there is little to no attempt at character motivation, organic character decision making - for example, why Princess Peach tells Mario he can come with her to save her kingdom. Almost every opportunity to make a joke is skipped. None of the characters have stated goals aside from King Koppa.And saddest of all to me, there is no attempt to create backstory or give context to these beloved worlds and characters.","5 April 2023","5/10",NA
"The Super Mario Bros. Movie (2023)","Brilliant animation and portrayal of the super Mario bros!","mj-80986","First of all: This is A MOVIE FOR KIDS, it's not for grown ups, don't be a 30-something or 40-something years old and expect to see the best movie of your lifetime. It's not gonna happen, it's a kids movie.When I was a kid I saw the old Hopkins-Leguizamo movie... OMG, it was horrible. I get it, we didn't have CGI back then, but an animated movie like this one would have been amazing. Waaaay better than that... garbage of a film.This new one explores all the common elements of the franchise, beautifully crafted world with attention to details. My 7 year old girl LOVED IT. I was kinda bored, but she loved it, this rating is for her, that's what's important, it's a movie for kids, they should rate it.There are a lot of man-childs on the internet criticizing it. Don't listen to them. If you have a kid who loves Mario just take them, no doubt about it. If you're a nostalgic grown up, you're not going to have a bad time, but it's not what you expect, there are like 1 or 2 ""grown up jokes"", that's it, it's not like those disney movies that have a lot of hints for grown ups, this one doesn't, it's a KIDS MOVIE as it should be.I get that grown ups need to be entertained, but it shouldn't be the rule, the most important thing is that kids love it.","8 April 2023","10/10",NA
"The Super Mario Bros. Movie (2023)","Illumination's best since Despicable Me 1.","benjaminskylerhill","Video games have long been plagued by subpar adaptions of their materials, but on their second attempt, the Mario Bros save the day. Being on par with the likes of Sonic and Detective Pikachu, this film hits all the fun beats you would want from a Mario film. Including plenty of fun moments for fans of the expansive franchise, this also stays completely understandable and entertaining for anyone who checks it out. With some interesting voice acting choices, no one took you out of the film and everyone felt like great choices for this vibrant world. Wishing that it stood out more or took on more intriguing choices, I was still walking away happy and hopeful for the future of this franchise and the possibilities to come.","5 September 2023","8/10",NA
"The Super Mario Bros. Movie (2023)","Solid Example of Game to Screen Adaptation","Ltufano23","Mario (Chris Pratt) and Luigi (Charlie Day) are struggling Brooklyn brother plumbers. When the city's sewer goes haywire, Mario sees an opportunity for heroic fame. Instead, they get sucked into an alternate world. The brothers get separated. Mario joins Princess Peach (Anya Taylor-Joy) to recruit the Kong army in their fight against the evil turtle Bowser (Jack Black). Luigi gets captured.It's brightly colored. It's energetic. It's got the characters. There's the game play. The story is fairly simple. It's pretty much what I expected. I wish there is more heart to it. The brothers could have been that, but they get separated pretty quickly. I played some of the games over the years and this will probably appeal to the fans. It's got all the brightly colored chaos for the kids. It's less so for everybody else.","19 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","pretty much as expected","SnoopyStyle","I think for what this movie sets out to do, Super Mario Bros. Movie pretty much ticks the boxes of an entertaining, reference fan-service heavy movie. A lot of the jokes are basic sure, but it's just impressive that there is some competency to a Video Game Movie. Sometimes simple and straightforward is the best way to go. Not high art or anything, but it ticks off almost everything for what Mario should be at least. Voice acting wasn't as bad as I thought, and Jack Black was the highlight as expected. Yeah, not gonna win any big awards but judge it for what it is, and yeah by Video Game Movie standards it's one of the best ones easily if you ask me.6.5/10.","5 April 2023","6/10",NA
"The Super Mario Bros. Movie (2023)","Everyone is so fixated on rotten tomatoes scores, it really is a solid film.","nickryan-44535","This is a movie that feels like a love letter to all the Nintendo fans out there, even if they don't necessarily play Mario anymore. The film delivers a fun and enjoyable experience for viewers by faithfully adapting every aspect of the game into the movie, including the Mario Kart and Donkey Kong franchises. The movie is packed with non-stop action and fast-paced storytelling, leaving little room for some of the more significant elements that fans might have wanted to see. It may not be able to fulfill every fan's wishes, but it's understandable and sets up for a sequel, as there is a post-credits scene.But for general audiences who are not familiar with Mario enough, this might be a movie that is difficult to understand. There may be questions like why does it have to be like this? Why do it this way? Why is the world so strange? This is because the story hardly explains in detail for us to know how the world is. Even though the story is simple and has nothing much. But if you don't think too much, it's an easy and enjoyable movie to watch, with the lovable characters in the style of the works from the studio that made Despicable Me.","5 April 2023","8/10",NA
"The Super Mario Bros. Movie (2023)","An absolute BLAST!","justinvitelli","Sometimes you come across a movie that takes no risks. It's light on story, avoids character development, and focuses on getting to the next scene as easily as possible. Mario Bros. Doesn't have any inherent plot holes or issues, but it tends to leave you in a state of just being a viewer rather than participating in the movie. In the end, it's not bad per se, but comes off as flat and lifeless.The positives are all agreed upon by anyone who likes it, because the positives stand out by not being able to be compared against anything else. People have fun with the action. They love the Easter eggs. And the composed music is good. The action is done well, but without much dramatic weight, only carry the movie so far. Easter eggs don't nor should have any bearing on how good the ovoid is. The music was well incorporated, minus the pop songs that truly don't work.It's not good enough to play things easy, and rely on fans to spot visual Easter eggs, to call the movie good. It's average at best mostly because it was watchable and didn't have any outright flaws. It just didn't take chances that could've ended up becoming flaws. Even if you had a good time watching it, there's not enough value to see it again. If you're a fan, check it out. If not, you won't miss a thing by skipping it.","5 April 2023","10/10",NA
"The Super Mario Bros. Movie (2023)","Critics are being too harsh for what it is","AdrenalinDragon","Took my kids for a special sky screening and boy were we excited! At first I was rather skeptical thinking this film won't do any justice to the games. However, I was wrong! This film met our expectation and beyond. I think I enjoyed this film more than my kids. From the moment the film starts it is enjoyable. Good sense of humour and a lot of nice scenes. A lot of laughable moments. Apart from the film being too short it still met my expectations. As a 39 year old who played all the Mario games since childhood, this bought back a lot of fond memories of sleepless nights of playing the Mario games. A must watch film whether you have kids or not.","5 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","The Message Of Love Is Sent Directly To The Fanbase, Not To The General Audience.","folk_egm","If you only watch the movie with the intention of having fun, you will certainly have a good experience with Mario. However the plot is quite bland and the movie runs at a very fast pace between one scene and another, hampering the progress of the story.Also, if you haven't played the Mario games, you'll fail immeasurably to pick up the game references that are scattered throughout the movie, and there are many of them. For anyone who's a Mario fan, this movie is literally fan service and it's no wonder why they're giving it a 10.For me, this movie doesn't lived up to the hype, but for a Mario fan, it certainly did.","6 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","Chris Pratt was awesome as Mario and Jack black as bowser was remarkable!!!!!!","gabethedinosaur","Some people are taking this movie too seriously. This movie is just supposed to be fun and colorful and not to be taken like a tarantino movie or something. Of course the plot could be improved a bit here and there but it's actually a really fun and entertaining movie when you just enjoy the ride. If you're a big fan of Mario you will absolutely love this movie 100%. I felt like a little kid again when i saw all the characters and easter eggs in every scene. The animation was insanely well done and i believe they could've made the movie a bit longer to expand on the world a bit more and get to know each character more but that's about it.","10 April 2023","10/10",NA
"The Super Mario Bros. Movie (2023)","Just average.","movies_are_life_","As a purely fluff piece - it's fun, bright spirited, and enjoyable for families. A movie that has all of the elements you'd want represented from Super Mario bros video games, and as a bonus, it also showcases Mario cart and donkey kong junior. The animation is strong, the worlds are exactly like the video games and truly fun moments for kids. The runtime is great and the movie moves along without pause.AND I expect better, higher quality movie making.The voice acting in this movie is so lazy. Chris Pratt is forgettable-anyone could have done better voicing such a beloved character. Princess Peach is the same - voice acting is boring and fairly emotionless. The worst voice acting belongs to Seth's terrible Donkey Kong junior - not a single attempt to make an actual character voice, just Seth's normal voice slapped on Donkey Kong. Toad's voice acting is also meatless and without any real jokes.The script is mostly empty and there is little to no attempt at character motivation, organic character decision making - for example, why Princess Peach tells Mario he can come with her to save her kingdom. Almost every opportunity to make a joke is skipped. None of the characters have stated goals aside from King Koppa.And saddest of all to me, there is no attempt to create backstory or give context to these beloved worlds and characters.","5 April 2023","5/10",NA
"The Super Mario Bros. Movie (2023)","Brilliant animation and portrayal of the super Mario bros!","mj-80986","First of all: This is A MOVIE FOR KIDS, it's not for grown ups, don't be a 30-something or 40-something years old and expect to see the best movie of your lifetime. It's not gonna happen, it's a kids movie.When I was a kid I saw the old Hopkins-Leguizamo movie... OMG, it was horrible. I get it, we didn't have CGI back then, but an animated movie like this one would have been amazing. Waaaay better than that... garbage of a film.This new one explores all the common elements of the franchise, beautifully crafted world with attention to details. My 7 year old girl LOVED IT. I was kinda bored, but she loved it, this rating is for her, that's what's important, it's a movie for kids, they should rate it.There are a lot of man-childs on the internet criticizing it. Don't listen to them. If you have a kid who loves Mario just take them, no doubt about it. If you're a nostalgic grown up, you're not going to have a bad time, but it's not what you expect, there are like 1 or 2 ""grown up jokes"", that's it, it's not like those disney movies that have a lot of hints for grown ups, this one doesn't, it's a KIDS MOVIE as it should be.I get that grown ups need to be entertained, but it shouldn't be the rule, the most important thing is that kids love it.","8 April 2023","10/10",NA
"The Super Mario Bros. Movie (2023)","Illumination's best since Despicable Me 1.","benjaminskylerhill","Video games have long been plagued by subpar adaptions of their materials, but on their second attempt, the Mario Bros save the day. Being on par with the likes of Sonic and Detective Pikachu, this film hits all the fun beats you would want from a Mario film. Including plenty of fun moments for fans of the expansive franchise, this also stays completely understandable and entertaining for anyone who checks it out. With some interesting voice acting choices, no one took you out of the film and everyone felt like great choices for this vibrant world. Wishing that it stood out more or took on more intriguing choices, I was still walking away happy and hopeful for the future of this franchise and the possibilities to come.","5 September 2023","8/10",NA
"The Super Mario Bros. Movie (2023)","Solid Example of Game to Screen Adaptation","Ltufano23","Mario (Chris Pratt) and Luigi (Charlie Day) are struggling Brooklyn brother plumbers. When the city's sewer goes haywire, Mario sees an opportunity for heroic fame. Instead, they get sucked into an alternate world. The brothers get separated. Mario joins Princess Peach (Anya Taylor-Joy) to recruit the Kong army in their fight against the evil turtle Bowser (Jack Black). Luigi gets captured.It's brightly colored. It's energetic. It's got the characters. There's the game play. The story is fairly simple. It's pretty much what I expected. I wish there is more heart to it. The brothers could have been that, but they get separated pretty quickly. I played some of the games over the years and this will probably appeal to the fans. It's got all the brightly colored chaos for the kids. It's less so for everybody else.","19 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","pretty much as expected","SnoopyStyle","I think for what this movie sets out to do, Super Mario Bros. Movie pretty much ticks the boxes of an entertaining, reference fan-service heavy movie. A lot of the jokes are basic sure, but it's just impressive that there is some competency to a Video Game Movie. Sometimes simple and straightforward is the best way to go. Not high art or anything, but it ticks off almost everything for what Mario should be at least. Voice acting wasn't as bad as I thought, and Jack Black was the highlight as expected. Yeah, not gonna win any big awards but judge it for what it is, and yeah by Video Game Movie standards it's one of the best ones easily if you ask me.6.5/10.","5 April 2023","6/10",NA
"The Super Mario Bros. Movie (2023)","Everyone is so fixated on rotten tomatoes scores, it really is a solid film.","nickryan-44535","This is a movie that feels like a love letter to all the Nintendo fans out there, even if they don't necessarily play Mario anymore. The film delivers a fun and enjoyable experience for viewers by faithfully adapting every aspect of the game into the movie, including the Mario Kart and Donkey Kong franchises. The movie is packed with non-stop action and fast-paced storytelling, leaving little room for some of the more significant elements that fans might have wanted to see. It may not be able to fulfill every fan's wishes, but it's understandable and sets up for a sequel, as there is a post-credits scene.But for general audiences who are not familiar with Mario enough, this might be a movie that is difficult to understand. There may be questions like why does it have to be like this? Why do it this way? Why is the world so strange? This is because the story hardly explains in detail for us to know how the world is. Even though the story is simple and has nothing much. But if you don't think too much, it's an easy and enjoyable movie to watch, with the lovable characters in the style of the works from the studio that made Despicable Me.","5 April 2023","8/10",NA
"The Super Mario Bros. Movie (2023)","An absolute BLAST!","justinvitelli","Sometimes you come across a movie that takes no risks. It's light on story, avoids character development, and focuses on getting to the next scene as easily as possible. Mario Bros. Doesn't have any inherent plot holes or issues, but it tends to leave you in a state of just being a viewer rather than participating in the movie. In the end, it's not bad per se, but comes off as flat and lifeless.The positives are all agreed upon by anyone who likes it, because the positives stand out by not being able to be compared against anything else. People have fun with the action. They love the Easter eggs. And the composed music is good. The action is done well, but without much dramatic weight, only carry the movie so far. Easter eggs don't nor should have any bearing on how good the ovoid is. The music was well incorporated, minus the pop songs that truly don't work.It's not good enough to play things easy, and rely on fans to spot visual Easter eggs, to call the movie good. It's average at best mostly because it was watchable and didn't have any outright flaws. It just didn't take chances that could've ended up becoming flaws. Even if you had a good time watching it, there's not enough value to see it again. If you're a fan, check it out. If not, you won't miss a thing by skipping it.","5 April 2023","10/10",NA
"The Super Mario Bros. Movie (2023)","Critics are being too harsh for what it is","AdrenalinDragon","Took my kids for a special sky screening and boy were we excited! At first I was rather skeptical thinking this film won't do any justice to the games. However, I was wrong! This film met our expectation and beyond. I think I enjoyed this film more than my kids. From the moment the film starts it is enjoyable. Good sense of humour and a lot of nice scenes. A lot of laughable moments. Apart from the film being too short it still met my expectations. As a 39 year old who played all the Mario games since childhood, this bought back a lot of fond memories of sleepless nights of playing the Mario games. A must watch film whether you have kids or not.","5 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","The Message Of Love Is Sent Directly To The Fanbase, Not To The General Audience.","folk_egm","If you only watch the movie with the intention of having fun, you will certainly have a good experience with Mario. However the plot is quite bland and the movie runs at a very fast pace between one scene and another, hampering the progress of the story.Also, if you haven't played the Mario games, you'll fail immeasurably to pick up the game references that are scattered throughout the movie, and there are many of them. For anyone who's a Mario fan, this movie is literally fan service and it's no wonder why they're giving it a 10.For me, this movie doesn't lived up to the hype, but for a Mario fan, it certainly did.","6 April 2023","7/10",NA
"The Super Mario Bros. Movie (2023)","Chris Pratt was awesome as Mario and Jack black as bowser was remarkable!!!!!!","gabethedinosaur","Some people are taking this movie too seriously. This movie is just supposed to be fun and colorful and not to be taken like a tarantino movie or something. Of course the plot could be improved a bit here and there but it's actually a really fun and entertaining movie when you just enjoy the ride. If you're a big fan of Mario you will absolutely love this movie 100%. I felt like a little kid again when i saw all the characters and easter eggs in every scene. The animation was insanely well done and i believe they could've made the movie a bit longer to expand on the world a bit more and get to know each character more but that's about it.","10 April 2023","10/10",NA
"The Super Mario Bros. Movie (2023)","Just average.","movies_are_life_","As a purely fluff piece - it's fun, bright spirited, and enjoyable for families. A movie that has all of the elements you'd want represented from Super Mario bros video games, and as a bonus, it also showcases Mario cart and donkey kong junior. The animation is strong, the worlds are exactly like the video games and truly fun moments for kids. The runtime is great and the movie moves along without pause.AND I expect better, higher quality movie making.The voice acting in this movie is so lazy. Chris Pratt is forgettable-anyone could have done better voicing such a beloved character. Princess Peach is the same - voice acting is boring and fairly emotionless. The worst voice acting belongs to Seth's terrible Donkey Kong junior - not a single attempt to make an actual character voice, just Seth's normal voice slapped on Donkey Kong. Toad's voice acting is also meatless and without any real jokes.The script is mostly empty and there is little to no attempt at character motivation, organic character decision making - for example, why Princess Peach tells Mario he can come with her to save her kingdom. Almost every opportunity to make a joke is skipped. None of the characters have stated goals aside from King Koppa.And saddest of all to me, there is no attempt to create backstory or give context to these beloved worlds and characters.","5 April 2023","5/10",NA
